id,name,breed,ageYears,gender,weightKg,coatColor,personality,vaccinated,neutered,vaccinationStatus,neuteredStatus,city,description,adoptionStatus
"bichon-11","泡芙","比熊","1.5","男生","7.1","雪白","爱撒娇","false","true","待补疫苗纪录","已完成绝育","桃园","泡芙是一只爱撒娇的比熊，目前在桃园等待新的家庭，已完成基础救援安置。","available"
"bichon-12","露比","比熊","2","女生","8.4","米白","喜欢陪伴","true","true","已完成疫苗纪录","已完成绝育","台中","露比是一只喜欢陪伴的比熊，目前在台中等待新的家庭，已完成基础救援安置。","available"
"border-collie-01","阿诺","边牧","1.5","男生","6.3","黑白","聪明机警","false","false","待补疫苗纪录","绝育状态待更新","新北","阿诺是一只聪明机警的边牧，目前在新北等待新的家庭，已完成基础救援安置。","available"
"border-collie-02","闪电","边牧","2","女生","7.6","咖白","精力旺盛","true","true","已完成疫苗纪录","已完成绝育","桃园","闪电是一只精力旺盛的边牧，目前在桃园等待新的家庭，已完成基础救援安置。","available"
"border-collie-03","小黑","边牧","2.5","男生","8.9","三色","喜欢训练","true","true","已完成疫苗纪录","已完成绝育","台中","小黑是一只喜欢训练的边牧，目前在台中等待新的家庭，已完成基础救援安置。","available"
"border-collie-04","星尘","边牧","3","女生","10.2","黑白","互动感强","true","false","已完成疫苗纪录","绝育状态待更新","台南","星尘是一只互动感强的边牧，目前在台南等待新的家庭，已完成基础救援安置。","available"
"border-collie-05","球球","边牧","3.5","男生","6.3","咖白","聪明机警","true","true","已完成疫苗纪录","已完成绝育","高雄","球球是一只聪明机警的边牧，目前在高雄等待新的家庭，已完成基础救援安置。","available"
"border-collie-06","海盐","边牧","4","女生","7.6","三色","精力旺盛","false","true","待补疫苗纪录","已完成绝育","新竹","海盐是一只精力旺盛的边牧，目前在新竹等待新的家庭，已完成基础救援安置。","available"
"border-collie-07","初一","边牧","4.5","男生","8.9","黑白","喜欢训练","true","false","已完成疫苗纪录","绝育状态待更新","基隆","初一是一只喜欢训练的边牧，目前在基隆等待新的家庭，已完成基础救援安置。","available"
"border-collie-08","七七","边牧","5","女生","10.2","咖白","互动感强","true","true","已完成疫苗纪录","已完成绝育","台北","七七是一只互动感强的边牧，目前在台北等待新的家庭，已完成基础救援安置。","available"
"border-collie-09","麦芽","边牧","1","男生","6.3","三色","聪明机警","true","true","已完成疫苗纪录","已完成绝育","新北","麦芽是一只聪明机警的边牧，目前在新北等待新的家庭，已完成基础救援安置。","available"
"border-collie-10","豆丁","边牧","1.5","女生","7.6","黑白","精力旺盛","true","false","已完成疫苗纪录","绝育状态待更新","桃园","豆丁是一只精力旺盛的边牧，目前在桃园等待新的家庭，已完成基础救援安置。","available"
"border-collie-11","凯西","边牧","2","男生","8.9","咖白","喜欢训练","false","true","待补疫苗纪录","已完成绝育","台中","凯西是一只喜欢训练的边牧，目前在台中等待新的家庭，已完成基础救援安置。","available"
"border-collie-12","布鲁","边牧","2.5","女生","10.2","三色","互动感强","true","true","已完成疫苗纪录","已完成绝育","台南","布鲁是一只互动感强的边牧，目前在台南等待新的家庭，已完成基础救援安置。","available"
"poodle-01","可可","泰迪","2","男生","8.1","棕色","活泼外向","false","false","待补疫苗纪录","绝育状态待更新","桃园","可可是一只活泼外向的泰迪，目前在桃园等待新的家庭，已完成基础救援安置。","available"
"poodle-02","奶茶","泰迪","2.5","女生","9.4","深咖","容易亲近","true","true","已完成疫苗纪录","已完成绝育","台中","奶茶是一只容易亲近的泰迪，目前在台中等待新的家庭，已完成基础救援安置。","available"
"poodle-03","栗子","泰迪","3","男生","10.7","杏色","好奇心强","true","true","已完成疫苗纪录","已完成绝育","台南","栗子是一只好奇心强的泰迪，目前在台南等待新的家庭，已完成基础救援安置。","available"
"poodle-04","可颂","泰迪","3.5","女生","12","棕色","反应灵敏","true","false","已完成疫苗纪录","绝育状态待更新","高雄","可颂是一只反应灵敏的泰迪，目前在高雄等待新的家庭，已完成基础救援安置。","available"
"poodle-05","布丁","泰迪","4","男生","8.1","深咖","活泼外向","true","true","已完成疫苗纪录","已完成绝育","新竹","布丁是一只活泼外向的泰迪，目前在新竹等待新的家庭，已完成基础救援安置。","available"
"poodle-06","毛豆","泰迪","4.5","女生","9.4","杏色","容易亲近","false","true","待补疫苗纪录","已完成绝育","基隆","毛豆是一只容易亲近的泰迪，目前在基隆等待新的家庭，已完成基础救援安置。","available"
"poodle-07","小卷","泰迪","5","男生","10.7","棕色","好奇心强","true","false","已完成疫苗纪录","绝育状态待更新","台北","小卷是一只好奇心强的泰迪，目前在台北等待新的家庭，已完成基础救援安置。","available"
"poodle-08","芋泥","泰迪","1","女生","12","深咖","反应灵敏","true","true","已完成疫苗纪录","已完成绝育","新北","芋泥是一只反应灵敏的泰迪，目前在新北等待新的家庭，已完成基础救援安置。","available"
"poodle-09","暖暖","泰迪","1.5","男生","8.1","杏色","活泼外向","true","true","已完成疫苗纪录","已完成绝育","桃园","暖暖是一只活泼外向的泰迪，目前在桃园等待新的家庭，已完成基础救援安置。","available"
"poodle-10","可乐","泰迪","2","女生","9.4","棕色","容易亲近","true","false","已完成疫苗纪录","绝育状态待更新","台中","可乐是一只容易亲近的泰迪，目前在台中等待新的家庭，已完成基础救援安置。","available"
"poodle-11","QQ","泰迪","2.5","男生","10.7","深咖","好奇心强","false","true","待补疫苗纪录","已完成绝育","台南","QQ是一只好奇心强的泰迪，目前在台南等待新的家庭，已完成基础救援安置。","available"
"poodle-12","艾比","泰迪","3","女生","12","杏色","反应灵敏","true","true","已完成疫苗纪录","已完成绝育","高雄","艾比是一只反应灵敏的泰迪，目前在高雄等待新的家庭，已完成基础救援安置。","available"
"corgi-01","短腿","柯基","2.5","男生","9.9","黄白","友善开朗","false","false","待补疫苗纪录","绝育状态待更新","台中","短腿是一只友善开朗的柯基，目前在台中等待新的家庭，已完成基础救援安置。","available"
"corgi-02","阿饼","柯基","3","女生","11.2","赤白","爱玩玩具","true","true","已完成疫苗纪录","已完成绝育","台南","阿饼是一只爱玩玩具的柯基，目前在台南等待新的家庭，已完成基础救援安置。","available"
"corgi-03","多比","柯基","3.5","男生","12.5","三色","表情丰富","true","true","已完成疫苗纪录","已完成绝育","高雄","多比是一只表情丰富的柯基，目前在高雄等待新的家庭，已完成基础救援安置。","available"
"corgi-04","咪噜","柯基","4","女生","13.8","黄白","喜欢散步","true","false","已完成疫苗纪录","绝育状态待更新","新竹","咪噜是一只喜欢散步的柯基，目前在新竹等待新的家庭，已完成基础救援安置。","available"
"corgi-05","旺财","柯基","4.5","男生","9.9","赤白","友善开朗","true","true","已完成疫苗纪录","已完成绝育","基隆","旺财是一只友善开朗的柯基，目前在基隆等待新的家庭，已完成基础救援安置。","available"
"corgi-06","小麦","柯基","5","女生","11.2","三色","爱玩玩具","false","true","待补疫苗纪录","已完成绝育","台北","小麦是一只爱玩玩具的柯基，目前在台北等待新的家庭，已完成基础救援安置。","available"
"corgi-07","糯米","柯基","1","男生","12.5","黄白","表情丰富","true","false","已完成疫苗纪录","绝育状态待更新","新北","糯米是一只表情丰富的柯基，目前在新北等待新的家庭，已完成基础救援安置。","available"
"corgi-08","肉松","柯基","1.5","女生","13.8","赤白","喜欢散步","true","true","已完成疫苗纪录","已完成绝育","桃园","肉松是一只喜欢散步的柯基，目前在桃园等待新的家庭，已完成基础救援安置。","available"
"corgi-09","柚子","柯基","2","男生","9.9","三色","友善开朗","true","true","已完成疫苗纪录","已完成绝育","台中","柚子是一只友善开朗的柯基，目前在台中等待新的家庭，已完成基础救援安置。","available"
"corgi-10","福宝","柯基","2.5","女生","11.2","黄白","爱玩玩具","true","false","已完成疫苗纪录","绝育状态待更新","台南","福宝是一只爱玩玩具的柯基，目前在台南等待新的家庭，已完成基础救援安置。","available"
"corgi-11","卡布","柯基","3","男生","12.5","赤白","表情丰富","false","true","待补疫苗纪录","已完成绝育","高雄","卡布是一只表情丰富的柯基，目前在高雄等待新的家庭，已完成基础救援安置。","available"
"corgi-12","拿铁","柯基","3.5","女生","13.8","三色","喜欢散步","true","true","已完成疫苗纪录","已完成绝育","新竹","拿铁是一只喜欢散步的柯基，目前在新竹等待新的家庭，已完成基础救援安置。","available"
"shiba-01","阿柴","柴犬","3","男生","11.7","赤色","独立稳定","false","false","待补疫苗纪录","绝育状态待更新","台南","阿柴是一只独立稳定的柴犬，目前在台南等待新的家庭，已完成基础救援安置。","available"
"shiba-02","福丸","柴犬","3.5","女生","13","黑柴","熟了很黏","true","true","已完成疫苗纪录","已完成绝育","高雄","福丸是一只熟了很黏的柴犬，目前在高雄等待新的家庭，已完成基础救援安置。","available"
"shiba-03","橘子","柴犬","4","男生","14.3","胡麻","警觉性高","true","true","已完成疫苗纪录","已完成绝育","新竹","橘子是一只警觉性高的柴犬，目前在新竹等待新的家庭，已完成基础救援安置。","available"
"shiba-04","豆柴","柴犬","4.5","女生","15.6","赤色","有自己的节奏","true","false","已完成疫苗纪录","绝育状态待更新","基隆","豆柴是一只有自己的节奏的柴犬，目前在基隆等待新的家庭，已完成基础救援安置。","available"
"shiba-05","麻吉","柴犬","5","男生","11.7","黑柴","独立稳定","true","true","已完成疫苗纪录","已完成绝育","台北","麻吉是一只独立稳定的柴犬，目前在台北等待新的家庭，已完成基础救援安置。","available"
"shiba-06","丸子","柴犬","1","女生","13","胡麻","熟了很黏","false","true","待补疫苗纪录","已完成绝育","新北","丸子是一只熟了很黏的柴犬，目前在新北等待新的家庭，已完成基础救援安置。","available"
"shiba-07","太阳","柴犬","1.5","男生","14.3","赤色","警觉性高","true","false","已完成疫苗纪录","绝育状态待更新","桃园","太阳是一只警觉性高的柴犬，目前在桃园等待新的家庭，已完成基础救援安置。","available"
"shiba-08","和果","柴犬","2","女生","15.6","黑柴","有自己的节奏","true","true","已完成疫苗纪录","已完成绝育","台中","和果是一只有自己的节奏的柴犬，目前在台中等待新的家庭，已完成基础救援安置。","available"
"shiba-09","小暖","柴犬","2.5","男生","11.7","胡麻","独立稳定","true","true","已完成疫苗纪录","已完成绝育","台南","小暖是一只独立稳定的柴犬，目前在台南等待新的家庭，已完成基础救援安置。","available"
"shiba-10","千岁","柴犬","3","女生","13","赤色","熟了很黏","true","false","已完成疫苗纪录","绝育状态待更新","高雄","千岁是一只熟了很黏的柴犬，目前在高雄等待新的家庭，已完成基础救援安置。","available"
"shiba-11","可米","柴犬","3.5","男生","14.3","黑柴","警觉性高","false","true","待补疫苗纪录","已完成绝育","新竹","可米是一只警觉性高的柴犬，目前在新竹等待新的家庭，已完成基础救援安置。","available"
"shiba-12","豆腐","柴犬","4","女生","15.6","胡麻","有自己的节奏","true","true","已完成疫苗纪录","已完成绝育","基隆","豆腐是一只有自己的节奏的柴犬，目前在基隆等待新的家庭，已完成基础救援安置。","available"
"mixed-01","小虎","米克斯","3.5","男生","13.5","虎斑","适应力强","false","false","待补疫苗纪录","绝育状态待更新","高雄","小虎是一只适应力强的米克斯，目前在高雄等待新的家庭，已完成基础救援安置。","available"
"mixed-02","阿勇","米克斯","4","女生","14.8","黑褐","忠诚可靠","true","true","已完成疫苗纪录","已完成绝育","新竹","阿勇是一只忠诚可靠的米克斯，目前在新竹等待新的家庭，已完成基础救援安置。","available"
"mixed-03","妞妞","米克斯","4.5","男生","16.1","米黄","慢熟贴心","true","true","已完成疫苗纪录","已完成绝育","基隆","妞妞是一只慢熟贴心的米克斯，目前在基隆等待新的家庭，已完成基础救援安置。","available"
"mixed-04","小吉","米克斯","5","女生","17.4","白底花","稳重懂事","true","false","已完成疫苗纪录","绝育状态待更新","台北","小吉是一只稳重懂事的米克斯，目前在台北等待新的家庭，已完成基础救援安置。","available"
"mixed-05","斑比","米克斯","1","男生","13.5","虎斑","适应力强","true","true","已完成疫苗纪录","已完成绝育","新北","斑比是一只适应力强的米克斯，目前在新北等待新的家庭，已完成基础救援安置。","available"
"mixed-06","勇者","米克斯","1.5","女生","14.8","黑褐","忠诚可靠","false","true","待补疫苗纪录","已完成绝育","桃园","勇者是一只忠诚可靠的米克斯，目前在桃园等待新的家庭，已完成基础救援安置。","available"
"mixed-07","阿棕","米克斯","2","男生","16.1","米黄","慢熟贴心","true","false","已完成疫苗纪录","绝育状态待更新","台中","阿棕是一只慢熟贴心的米克斯，目前在台中等待新的家庭，已完成基础救援安置。","available"
"mixed-08","橘福","米克斯","2.5","女生","17.4","白底花","稳重懂事","true","true","已完成疫苗纪录","已完成绝育","台南","橘福是一只稳重懂事的米克斯，目前在台南等待新的家庭，已完成基础救援安置。","available"
"mixed-09","小叶","米克斯","3","男生","13.5","虎斑","适应力强","true","true","已完成疫苗纪录","已完成绝育","高雄","小叶是一只适应力强的米克斯，目前在高雄等待新的家庭，已完成基础救援安置。","available"
"mixed-10","阿布","米克斯","3.5","女生","14.8","黑褐","忠诚可靠","true","false","已完成疫苗纪录","绝育状态待更新","新竹","阿布是一只忠诚可靠的米克斯，目前在新竹等待新的家庭，已完成基础救援安置。","available"
"mixed-11","小满","米克斯","4","男生","16.1","米黄","慢熟贴心","false","true","待补疫苗纪录","已完成绝育","基隆","小满是一只慢熟贴心的米克斯，目前在基隆等待新的家庭，已完成基础救援安置。","available"
"mixed-12","平安","米克斯","4.5","女生","17.4","白底花","稳重懂事","true","true","已完成疫苗纪录","已完成绝育","台北","平安是一只稳重懂事的米克斯，目前在台北等待新的家庭，已完成基础救援安置。","available"
"golden-retriever-01","阿金","黄金猎犬","4","男生","15.3","浅金","温和亲切","false","false","待补疫苗纪录","绝育状态待更新","新竹","阿金是一只温和亲切的黄金猎犬，目前在新竹等待新的家庭，已完成基础救援安置。","available"
"golden-retriever-02","阳光","黄金猎犬","4.5","女生","16.6","金色","喜欢陪小孩","true","true","已完成疫苗纪录","已完成绝育","基隆","阳光是一只喜欢陪小孩的黄金猎犬，目前在基隆等待新的家庭，已完成基础救援安置。","available"
"golden-retriever-03","小麦","黄金猎犬","5","男生","17.9","奶油金","爱互动","true","true","已完成疫苗纪录","已完成绝育","台北","小麦是一只爱互动的黄金猎犬，目前在台北等待新的家庭，已完成基础救援安置。","available"
"golden-retriever-04","哈尼","黄金猎犬","1","女生","19.2","浅金","稳定好相处","true","false","已完成疫苗纪录","绝育状态待更新","新北","哈尼是一只稳定好相处的黄金猎犬，目前在新北等待新的家庭，已完成基础救援安置。","available"
"golden-retriever-05","森森","黄金猎犬","1.5","男生","15.3","金色","温和亲切","true","true","已完成疫苗纪录","已完成绝育","桃园","森森是一只温和亲切的黄金猎犬，目前在桃园等待新的家庭，已完成基础救援安置。","available"
"golden-retriever-06","巴迪","黄金猎犬","2","女生","16.6","奶油金","喜欢陪小孩","false","true","待补疫苗纪录","已完成绝育","台中","巴迪是一只喜欢陪小孩的黄金猎犬，目前在台中等待新的家庭，已完成基础救援安置。","available"
"golden-retriever-07","球宝","黄金猎犬","2.5","男生","17.9","浅金","爱互动","true","false","已完成疫苗纪录","绝育状态待更新","台南","球宝是一只爱互动的黄金猎犬，目前在台南等待新的家庭，已完成基础救援安置。","available"
"golden-retriever-08","果酱","黄金猎犬","3","女生","19.2","金色","稳定好相处","true","true","已完成疫苗纪录","已完成绝育","高雄","果酱是一只稳定好相处的黄金猎犬，目前在高雄等待新的家庭，已完成基础救援安置。","available"
"golden-retriever-09","点点","黄金猎犬","3.5","男生","15.3","奶油金","温和亲切","true","true","已完成疫苗纪录","已完成绝育","新竹","点点是一只温和亲切的黄金猎犬，目前在新竹等待新的家庭，已完成基础救援安置。","available"
"golden-retriever-10","欧文","黄金猎犬","4","女生","16.6","浅金","喜欢陪小孩","true","false","已完成疫苗纪录","绝育状态待更新","基隆","欧文是一只喜欢陪小孩的黄金猎犬，目前在基隆等待新的家庭，已完成基础救援安置。","available"
"golden-retriever-11","皮皮","黄金猎犬","4.5","男生","17.9","金色","爱互动","false","true","待补疫苗纪录","已完成绝育","台北","皮皮是一只爱互动的黄金猎犬，目前在台北等待新的家庭，已完成基础救援安置。","available"
"golden-retriever-12","晴天","黄金猎犬","5","女生","19.2","奶油金","稳定好相处","true","true","已完成疫苗纪录","已完成绝育","新北","晴天是一只稳定好相处的黄金猎犬，目前在新北等待新的家庭，已完成基础救援安置。","available"
"labrador-01","阿拉","拉布拉多","4.5","男生","17.1","米黄","外向可靠","false","false","待补疫苗纪录","绝育状态待更新","基隆","阿拉是一只外向可靠的拉布拉多，目前在基隆等待新的家庭，已完成基础救援安置。","available"
"labrador-02","黑糖","拉布拉多","5","女生","18.4","黑色","爱玩水","true","true","已完成疫苗纪录","已完成绝育","台北","黑糖是一只爱玩水的拉布拉多，目前在台北等待新的家庭，已完成基础救援安置。","available"
"labrador-03","奶油","拉布拉多","1","男生","19.7","巧克力","服从性高","true","true","已完成疫苗纪录","已完成绝育","新北","奶油是一只服从性高的拉布拉多，目前在新北等待新的家庭，已完成基础救援安置。","available"
"labrador-04","卡卡","拉布拉多","1.5","女生","21","米黄","喜欢陪伴","true","false","已完成疫苗纪录","绝育状态待更新","桃园","卡卡是一只喜欢陪伴的拉布拉多，目前在桃园等待新的家庭，已完成基础救援安置。","available"
"labrador-05","拿拿","拉布拉多","2","男生","17.1","黑色","外向可靠","true","true","已完成疫苗纪录","已完成绝育","台中","拿拿是一只外向可靠的拉布拉多，目前在台中等待新的家庭，已完成基础救援安置。","available"
"labrador-06","泡泡","拉布拉多","2.5","女生","18.4","巧克力","爱玩水","false","true","待补疫苗纪录","已完成绝育","台南","泡泡是一只爱玩水的拉布拉多，目前在台南等待新的家庭，已完成基础救援安置。","available"
"labrador-07","勇宝","拉布拉多","3","男生","19.7","米黄","服从性高","true","false","已完成疫苗纪录","绝育状态待更新","高雄","勇宝是一只服从性高的拉布拉多，目前在高雄等待新的家庭，已完成基础救援安置。","available"
"labrador-08","阿肥","拉布拉多","3.5","女生","21","黑色","喜欢陪伴","true","true","已完成疫苗纪录","已完成绝育","新竹","阿肥是一只喜欢陪伴的拉布拉多，目前在新竹等待新的家庭，已完成基础救援安置。","available"
"labrador-09","布朗","拉布拉多","4","男生","17.1","巧克力","外向可靠","true","true","已完成疫苗纪录","已完成绝育","基隆","布朗是一只外向可靠的拉布拉多，目前在基隆等待新的家庭，已完成基础救援安置。","available"
"labrador-10","皮蛋","拉布拉多","4.5","女生","18.4","米黄","爱玩水","true","false","已完成疫苗纪录","绝育状态待更新","台北","皮蛋是一只爱玩水的拉布拉多，目前在台北等待新的家庭，已完成基础救援安置。","available"
"labrador-11","星星","拉布拉多","5","男生","19.7","黑色","服从性高","false","true","待补疫苗纪录","已完成绝育","新北","星星是一只服从性高的拉布拉多，目前在新北等待新的家庭，已完成基础救援安置。","available"
"labrador-12","芒果","拉布拉多","1","女生","21","巧克力","喜欢陪伴","true","true","已完成疫苗纪录","已完成绝育","桃园","芒果是一只喜欢陪伴的拉布拉多，目前在桃园等待新的家庭，已完成基础救援安置。","available"
